type,superclass,class,npmapSymbol,hfcSymbol,iconSource,makiIcon,optionalTags,description,howToMap,altNames,oldAltNames,iDSearchTerms,tags,point,vertex,line,polygon,JSON_Fields,layerIndex,inCarto,inEditor,inGuide,defaultOrder
Campfire Ring,Land Recreation,Camping,campfire,,npmap-symbol-library,campfire-black,,,,"[""campfire"", ""campfire circle"", ""fire ring"", ""firepit"", ""fireplace""]","[""campfire"", ""campfire circle"", ""fire ring"", ""firepit"", ""fireplace""]","{campfire,firepit,fireplace,fire ring,campfire ring}","{""leisure"":""firepit""}",x,,,,"{name,nps/unitcode}",60,TRUE,TRUE,TRUE,
Campground,Land Recreation,Camping,campground,,npmap-symbol-library,campground-black,,"A campground is an area, usually divided into a number of pitches (or ""campsites""), where people can camp overnight using tents or camper vans or caravans.","Add a campground by creating a point in the middle of the area and selecting ""Campground"" from the ""Select feature type"" menu.","[""camping"", ""camping area""]","[""camping"", ""camping area""]",{campground},"{""tourism"":""camp_site""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours,capacity,fee}",60,TRUE,TRUE,TRUE,-6
Campsite,Land Recreation,Camping,campsite,,npmap-symbol-library,campsite-black,,,,"[""camp site"", ""pitch"", ""tent pad""]","[""camp site"", ""pitch"", ""tent pad""]","{campsite,""camp site""}","{""tourism"":""camp_site"",""camp_site"":""pitch""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours,capacity,fee}",60,TRUE,TRUE,TRUE,6
Dump Station,Land Recreation,Camping,sanitary-disposal-station,,npmap-symbol-library,sanitary-disposal-station-black,,,,"[""sanitary disposal station"", ""dumpstation""]","[""sanitary disposal station"", ""dumpstation""]","{""sanitary disposal station"",dumpstation,""dump station""}","{""amenity"":""sanitary_dump_station""}",x,x,,,"{name,nps/unitcode,operator,address}",60,TRUE,TRUE,TRUE,
Horse Camp,Land Recreation,Camping,horseback-riding,,npmap-symbol-library,campground-black,,,,"[""horse campground""]","[""campground"", ""horse campground""]","{horse camp,horse campground}","{""tourism"":""camp_site"",""horse"":""*""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours,capacity,fee,nps/nonmotorizeduse}",60,TRUE,TRUE,TRUE,
Primitive Camping,Land Recreation,Camping,campsite,,npmap-symbol-library,campsite-black,,,,"[""backcountry"", ""backcountry campground"", ""backcountry camping"", ""backcountry campsite"", ""primitive"", ""primitive campsite""]","[""campground"", ""backcountry"", ""backcountry campground"", ""backcountry camping"", ""backcountry campsite"", ""primitive"", ""primitive campsite""]","{campsite,""camp site"",backcountry,primitive}","{""tourism"":""camp_site"",""camp_site"":""pitch"",""backcountry"":""*""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours,capacity,fee}",60,TRUE,TRUE,TRUE,
RV Campground,Land Recreation,Camping,rv-campground,,npmap-symbol-library,rv-campground-black,,,,"[""campground"", ""campervan park"", ""motorcoach park"",""motorhome park"", ""rv"", ""rv pad"", ""rv park""]","[""campground"", ""campervan park"", ""motorcoach park"",""motorhome park"", ""rv"", ""rv pad"", ""rv park""]","{""rv campground"",campsite,""camp_site"",""motorhome park""}","{""tourism"":""camp_site"",""caravans"":""*""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours,capacity,fee}",60,TRUE,TRUE,TRUE,9
Canyoneering Route,Land Recreation,Climbing,,Climbing,,,,,,[],"[""canyoneering"", ""route""]","{""canyoneering route""}","{""highway"":""path"",""sport"":""canyoning""}",x,,,,"{name,nps/unitcode}",50,TRUE,TRUE,TRUE,
Climbing Route,Land Recreation,Climbing,,Climbing,,,,,,"[""mountain climbing"", ""mountain climbing route""]","[""climbing"", ""route"", ""mountain climbing"", ""mountain climbing route""]","{""climbing route""}","{""highway"":""path"",""sport"":""climbing""}",x,,,,"{name,nps/unitcode}",50,TRUE,TRUE,TRUE,
Food Box / Food Cache,Land Recreation,Food,food-cache,,npmap-symbol-library,food-cache-black,,,,"[""food box"", ""food cache"", ""bear box"", ""bear cache"", ""bear pole"", ""food pole""]","[""food box"", ""food cache"", ""bear box"", ""bear cache"", ""bear pole"", ""food pole""]","{""food cache"",""food box""}","{""storage"":""food""}",x,,,,"{name,nps/unitcode}",60,TRUE,TRUE,TRUE,
Golf Course,Land Recreation,Golf,golfing,Golfing,npmap-symbol-library,golfing-black,,,,"[""fairway"", ""golf"", ""golfing"", ""golfing area"", ""golfing green"", ""green""]","[""fairway"", ""golf"", ""golfing"", ""golfing area"", ""golfing green"", ""green""]","{""golf course""}","{""leisure"":""golf_course""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",60,TRUE,TRUE,TRUE,
Golf Course,Land Recreation,Golf,,,,,,,,"[""fairway"", ""golf"", ""golfing"", ""golfing area"", ""golfing green"", ""green""]","[""fairway"", ""golf"", ""golfing"", ""golfing area"", ""golfing green"", ""green""]","{""golf course""}","{""leisure"":""golf_course""}",,,,x,"{name,nps/unitcode,operator,address,opening_hours}",10,TRUE,TRUE,TRUE,5
Horseback Riding,Land Recreation,Horse,horseback-riding,Horseback Riding,npmap-symbol-library,horseback-riding-black,,,,"[""bridleway"", ""equestrian"", ""equestrian trail"", ""horse riding"", ""horse riding trail"", ""horseback"", ""horseback riding trail"", ""pack and saddle""]","[""bridleway"", ""equestrian"", ""equestrian trail"", ""horse"", ""horse riding"", ""horse riding trail"", ""horseback"", ""horseback riding trail"", ""pack and saddle"", ""trail"", ""track""]","{""equestrian trail"",equestrian,bridleway,""horse riding"",horse,trail,track,horseback}","{""leisure"":""horse_riding""}",x,x,,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,nps/structure}",60,TRUE,TRUE,TRUE,
Motorcycle Trail,Land Recreation,Motorcycle,motor-bike-trail,,npmap-symbol-library,motor-bike-trail-black,,,,"[""dirt bike"", ""dirt bike trail"", ""motorbike"", ""motorbike trail"", ""motorcycle"", ""trail"", ""track""]","[""dirt bike"", ""dirt bike trail"", ""motorbike"", ""motorbike trail"", ""motorcycle"", ""trail"", ""track""]","{""motorcycle trail"",motorcycle,trail,track}","{""highway"":""track"",""motorcycle"":""*""}",x,,,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/trailuse,nps/structure}",60,TRUE,TRUE,TRUE,
Park,Land Recreation,Park,,,maki,park,,,,"[""clearing"", ""recreation""]","[""playground"",""field"",""clearing"",""recreation""]",,"{""leisure"":""park""}",x,,,,"{name,nps/unitcode,operator,address,fee}",60,TRUE,TRUE,TRUE,
Grill,Land Recreation,Picnic,,,,,,,,"[""barbecue"", ""barbecue grill"", ""bbq"", ""bbq grill""]","[""barbecue"", ""barbecue grill"", ""bbq"", ""bbq grill""]","{""grill""}","{""barbecue_grill"":""*""}",x,,,,"{name,nps/unitcode}",60,TRUE,TRUE,TRUE,
Picnic Area,Land Recreation,Picnic,picnic-area,,npmap-symbol-library,picnic-area-black,,,,"[""picnic"", ""picnic site""]","[""picnic"", ""picnic site""]","{""picnic area"",""picnic site"",picnic}","{""tourism"":""picnic_site""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours,fee}",60,TRUE,TRUE,TRUE,7
Picnic Table,Land Recreation,Picnic,,,,,,,,"[""picnic bench""]","[""picnic bench""]","{""picnic table""}","{""leisure"":""picnic_table""}",x,,,,"{name,nps/unitcode}",60,TRUE,TRUE,TRUE,8
Playground,Land Recreation,Playground,playground,,,,,,,"[""play area"", ""playpark""]","[""play area"", ""playpark""]","{""playground""}","{""leisure"":""playground""}",x,,,,"{name,nps/unitcode}",60,TRUE,TRUE,TRUE,
Athletic Field,Land Recreation,Sports Field,,,maki,pitch,,,,"[""sport"", ""field"", ""sport field""]","[""sport"", ""field"", ""sport field""]",,"{""leisure"":""pitch""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours,fee}",60,TRUE,TRUE,TRUE,
Athletic Field,Land Recreation,Sports Field,,,maki,pitch,,,,"[""sport"", ""field"", ""sport field""]","[""sport"", ""field"", ""sport field""]",,"{""leisure"":""pitch""}",,,,x,"{name,nps/unitcode,operator,address,opening_hours,fee}",10,TRUE,TRUE,TRUE,4
Motorized Trail,Land Recreation,Trail,four-wheel-drive-road,,npmap-symbol-library,trailhead-black,,,,"[""track"", ""trail""]","[""track"", ""trail""]","{track,trail,path}","{""highway"":""track""}",x,,,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/trailuse,nps/structure}",60,TRUE,TRUE,TRUE,
Non-Motorized Trail,Land Recreation,Trail,trailhead,,npmap-symbol-library,trailhead-black,,,,"[""footpath"", ""footway"", ""hike"", ""hiking"", ""trackway"", ""walk"", ""walkway""]","[""footpath"", ""footway"", ""hike"", ""hiking"", ""trackway"", ""walk"", ""walkway"", ""trail"", ""path""]","{trail,path,track,hike,hiking,trackway,walk,footpath}","{""highway"":""path""}",x,,,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/nonmotorizeduse,nps/structure}",60,TRUE,TRUE,TRUE,
Self Guiding Trail,Land Recreation,Trail,self-guiding-trail,,npmap-symbol-library,self-guiding-trail-black,,,,"[""guidepost"", ""guide post""]","[""guidepost"", ""guide post""]","{guidepost,""guide post"",information}","{""tourism"":""information"",""information"":""guidepost""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",60,TRUE,TRUE,TRUE,10
Steps,Land Recreation,Trail,,,,,,,,"[""stairs"", ""staircase""]","[""stairs"", ""staircase""]","{""stairs"",""staircase"",""steps""}","{""highway"":""steps""}",x,,,,"{""surface"",""lit"",""width"",""incline_steps"",""access""}",60,TRUE,TRUE,TRUE,
Trail Register,Land Recreation,Trail,trailhead,,npmap-symbol-library,trailhead-black,,,,"[""capsule"", ""register"", ""summit capsule""]","[""capsule"", ""register"", ""summit capsule""]","{register,""trail head"",trail,track}","{""tourism"":""register""}",x,x,,,"{name,nps/unitcode}",60,TRUE,TRUE,TRUE,
Trailhead,Land Recreation,Trail,trailhead,,npmap-symbol-library,trailhead-black,,A trailhead is the point or area at which a trail begins.,"Add a trailhead by creating a point at the start of the trail and selecting ""Trailhead"" from the ""Select feature type"" menu.","[""trailend"", ""trail end"", ""trail head""]","[""trailend"", ""trail end"", ""trail head""]","{trailhead,""trail head"",trail,track}","{""highway"":""trailhead""}",x,x,,,"{name,nps/unitcode,operator,tracktype,surface,width,incline,mtb/scale,mtb/scale/uphill,mtb/scale/imba,sac_scale,trail_visibility,nps/trailuse}",60,TRUE,TRUE,TRUE,-4
Cultural Landscape,Locality,Region,,,,,,,,[],"[""cultural"", ""landscape""]",,"{""place"":""locality"",""historic"":""landscape""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Historic District,Locality,Region,historic-feature,,,,,,,[],"[""historic"", ""district""]",,"{""place"":""locality"",""historic"":""district""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Junction,Locality,Region,,,,,,,,[],"[""locality"",""area"",""junction""]",,"{""place"":""locality"",""locality_type"":""junction""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Locale,Locality,Region,,,,,,,,"[""area"", ""locality"", ""location"", ""place"", ""placename"", ""place name""]","[""area"", ""locality"", ""location"", ""place"", ""placename"", ""place name""]","{locale,locality,location,place,neighborhood,district}","{""place"":""locality""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,-5
Populated Place,Locality,Region,,,,,,,,"[""city"", ""hamlet"", ""neighborhood"", ""place"", ""town""]","[""city"", ""hamlet"", ""neighborhood"", ""place"", ""town""]",{hamlet},"{""place"":""hamlet""}",x,,,,"{name,nps/unitcode,population}",10,TRUE,TRUE,TRUE,
Sculpture,Miscellaneous,Art,statue,,npmap-symbol-library,statue-black,,,,"[""art""]","[""art""]","{""sculpture""}","{""tourism"":""artwork"",""artwork_type"":""statue""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Totem Pole,Miscellaneous,Art,,,,,,,,"[""totem""]","[""totem""]",,"{""man_made"":""totem_pole""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Bench,Miscellaneous,Bench,,,,,,,,"[""seat""]","[""seat""]","{bench,seat}","{""amenity"":""bench""}",x,,,,"{name,nps/unitcode,operator,backrest,direction,seats,material}",10,TRUE,TRUE,TRUE,
Canal,Miscellaneous,Canal,,,maki,water,,,,"[""ditch"", ""lateal""]","[""ditch"", ""lateal""]","{canal,ditch,lateal}","{""waterway"":""canal""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Cemetery / Graveyard,Miscellaneous,Cemetery,,Cemetery,maki,cemetery,,,,"[""cemetery"", ""graveyard""]","[""cemetery"", ""graveyard""]","{cemetery,graveyard}","{""landuse"":""cemetery""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Grave,Miscellaneous,Cemetery,,Cemetery,maki,cemetery,,,,"[""burial"", ""burial site"", ""headstone"", ""tomb""]","[""burial"", ""burial site"", ""headstone"", ""tomb""]","{grave,tomb}","{""cemetery"":""grave""}",x,,,,"{memo,nps/unitcoderial,subject/name,subject/species,subject/birth,subject/death,religion}",10,TRUE,TRUE,TRUE,
Dam,Miscellaneous,Dam,dam,Dam,maki,dam,,,,"[""breakwater"", ""dike"", ""jetty""]","[""breakwater"", ""dike"", ""jetty""]","{dam,breakwater,dike,jetty}","{""waterway"":""dam""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Fence,Miscellaneous,Fence,,,,,,,,"[""barricade"", ""barrier"", ""enclosure"", ""fencing"", ""palisade"", ""railing"", ""stockade""]","[""barricade"", ""barrier"", ""enclosure"", ""fencing"", ""palisade"", ""railing"", ""stockade""]",{gate},"{""barrier"":""fence""}",x,x,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Flag Pole,Miscellaneous,Flag Pole,flagpole,,npmap-symbol-library,flagpole-black,,,,"[""flagpole""]","[""flagpole""]",{flagpole},"{""man_made"":""flagpole""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Garden,Miscellaneous,Garden,,,,,,,,"[""arboretum""]","[""arboretum""]","{""garden""}","{""leisure"":""garden""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Gate,Miscellaneous,Gate,,,,,,,,"[""entry way""]","[""entry way""]",{gate},"{""barrier"":""gate""}",x,x,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Dyke (Levee),Miscellaneous,Levee,,,,,,,,"[""dyke"", ""levee""]","[""dyke"", ""levee""]","{dyke,levee}","{""man_made"":""dyke""}",x,,,,"{name,nps/unitcode,operator}",10,TRUE,TRUE,TRUE,
Lock,Miscellaneous,Lock,,Lock,,,,,,"[""sluice""]","[""sluice""]","{""lock""}","{""lock"":""*""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Military Area,Miscellaneous,Military Area,,,,,,,,"[""military""]","[""military""]","{""military area""}","{""landuse"":""military""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Historic Mine,Miscellaneous,Mine,historic-feature,Ruin,,,,,,[],"[""historic"", ""mine""]","{""historic mine""}","{""historic"":""mine""}",x,,,,"{name,nps/unitcode,description,mineral}",10,TRUE,TRUE,TRUE,
Quarry (Mine),Miscellaneous,Mine,,,,,,,,"[""quarry"", ""mine"", ""pit"", ""pit mine""]","[""quarry"", ""mine"", ""pit"", ""pit mine""]","{quarry,mine}","{""landuse"":""quarry""}",x,,,,"{name,nps/unitcode,operator,resource}",10,TRUE,TRUE,TRUE,
Shaft (Mine),Miscellaneous,Mine,,,,,,,,"[""shaft"", ""mine"", ""adit"", ""mineshaft""]","[""shaft"", ""mine"", ""adit"", ""mineshaft""]","{shaft,mine,mineshaft,adit}","{""man_made"":""mineshaft""}",x,,,,"{name,nps/unitcode,operator,resource}",10,TRUE,TRUE,TRUE,
Museum,Miscellaneous,Museum,museum,,,,,,,"[""history"",""geology"",""nature""]","[""history"",""geology"",""nature""]",{museum},"{""tourism"":""museum""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Oilfield,Miscellaneous,Oil Well,,,maki,oil-well,,,,"[""oil field"", ""oil well"", ""pipeline"", ""well""]","[""oil field"", ""oil well"", ""pipeline"", ""well""]",{oilfield},"{""man_made"":""oilfield""}",x,,,,"{name,nps/unitcode,operator,resource}",10,TRUE,TRUE,TRUE,
Point of Interest,Miscellaneous,Point of Interest,,Point of interest,,,,,,"[""interest"", ""poi""]","[""interest"", ""poi""]","{""point of interest"",poi}","{""tourism"":""*""}",x,x,,,"{name,nps/unitcode,operator,address,opening_hours}",10,TRUE,TRUE,TRUE,
Reserve,Miscellaneous,Reserve,,,maki,park,,,,"[""nature reserve"", ""protected"", ""protected area"", ""wildlife"", ""wildlife reserve""]","[""nature reserve"", ""protected"", ""protected area"", ""wildlife"", ""wildlife reserve""]","{reserve,""nature reserve"",""wildlife reserve"",wildlife,""protected area"",protected}","{""leisure"":""nature_reserve""}",x,,,,"{name,nps/unitcode,operator}",10,TRUE,TRUE,TRUE,
Reservoir,Miscellaneous,Reservoir,,,maki,water,,,,"[""storage pond"", ""water storage"", ""water supply""]","[""storage pond"", ""water storage"", ""water supply""]","{reservoir,lake,tank}","{""natural"":""water"",""water"":""reservoir"",""landuse"":""reservoir""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Fortification,Miscellaneous,Structure,,Fort,,,,,,"[""fort"", ""earthworks"", ""hill fort"", ""trench""]","[""fort"", ""earthworks"", ""hill fort"", ""trench""]","{fortification,fort,earthworks,""hill fort"",trench}","{""historic"":""archaeological_site"",""site_type"":""fortification""}",,,,x,"{name,nps/unitcode,site_type}",10,TRUE,TRUE,TRUE,3
Fortification,Miscellaneous,Structure,,Fort,,,,,,"[""fort"", ""earthworks"", ""hill fort"", ""trench""]","[""fort"", ""earthworks"", ""hill fort"", ""trench""]","{fortification,fort,earthworks,""hill fort"",trench}","{""historic"":""archaeological_site"",""site_type"":""fortification""}",x,,,,"{name,nps/unitcode,site_type}",10,TRUE,TRUE,TRUE,
Tower,Miscellaneous,Structure,lookout-tower,Lookout tower,,,,,,"[""castle"", ""clock tower"", ""fire tower"", ""lookout tower"", ""water tower""]","[""castle"", ""clock tower"", ""fire tower"", ""lookout tower"", ""water tower""]","{tower,castle,overlook}","{""man_made"":""tower""}",x,,,,"{name,nps/unitcode,operator,tower/type}",10,TRUE,TRUE,TRUE,
Windmill,Miscellaneous,Structure,,,,,,,,"[""wind turbine"", ""windpump""]","[""wind turbine"", ""windpump""]",{windmill},"{""man_made"":""windmill""}",x,,,,"{name,nps/unitcode,operator}",10,TRUE,TRUE,TRUE,
Overlook,Miscellaneous,View,scenic-viewpoint,,,,,,,"[""scenic"", ""scenic overlook""]","[""scenic overlook"",""scenic"",""overlook"",""viewpoint"",""view""]","{overlook,""scenic overlook""}","{""tourism"":""viewpoint"",""viewpoint_type"":""overlook""}",x,,,,"{name,nps/unitcode,direction,operator,address,opening_hours}",10,TRUE,TRUE,TRUE,
Viewpoint,Miscellaneous,View,scenic-viewpoint,Viewing area,,,,,,"[""lookout"", ""observation point"", ""scenery"", ""scenic"", ""scenic viewpoint"", ""view"", ""viewing area"", ""viewing point"", ""vista"", ""vista point""]","[""lookout"", ""observation point"", ""scenery"", ""scenic"", ""scenic viewpoint"", ""viewing area"", ""viewing point"", ""vista"", ""vista point""]","{viewpoint,""scenic viewpoint"",scenic,scenery}","{""tourism"":""viewpoint""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",10,TRUE,TRUE,TRUE,
Arroyo,Natural Feature,Arroyo,,,maki,water,,,,"[""coulee"", ""draw"", ""gully"", ""wash""]","[""coulee"", ""draw"", ""gully"", ""wash""]","{arroyo,coulee,draw,gully,wash}","{""waterway"":""drain"",""intermittent"":""*""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Reef (Bar),Natural Feature,Bar,,,,,,,,"[""reef""]","[""reef""]","{reef,bar,ledge,sandbar,shoal,spit}","{""natural"":""reef""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Shoal (Bar),Natural Feature,Bar,,,,,,,,"[""shoal""]","[""shoal""]","{shoal,bar,ledge,reef,sandbar,spit}","{""natural"":""shoal""}",x,,,,"{name,nps/unitcode,tidal}",10,TRUE,TRUE,TRUE,
Basin,Natural Feature,Basin,,,,,,,,"[""cirque"", ""hole"", ""sink"", ""sinkhole""]","[""cirque"", ""hole"", ""sink"", ""sinkhole""]",{basin},"{""landuse"":""basin""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Bay,Natural Feature,Bay,,,,,,,,"[""arm"", ""bight"", ""cove"", ""estuary"", ""gulf"", ""inlet"", ""sound""]","[""arm"", ""bight"", ""cove"", ""estuary"", ""gulf"", ""inlet"", ""sound""]","{bay,arm,bight,cove,estuary,gulf,inlet,sound}","{""natural"":""bay""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Beach,Natural Feature,Beach,beach-access,,,,,,,"[""coast"", ""shore"", ""strand""]","[""coast"", ""shore"", ""strand""]","{beach,coast,shore,strand}","{""natural"":""beach""}",x,,,,"{name,nps/unitcode,surface}",10,TRUE,TRUE,TRUE,
Cape,Natural Feature,Cape,,,,,,,,"[""lea"", ""neck"", ""peninsula"", ""point""]","[""lea"", ""neck"", ""peninsula"", ""point""]","{cape,lea,neck,peninsula,point}","{""natural"":""cape""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Cave Entrance,Natural Feature,Cave,cave,Spelunking/Caves,,,,,,"[""cave"", ""cavern"", ""grotto""]","[""cave"", ""cavern"", ""grotto""]","{cave,cavern,grotto}","{""natural"":""cave_entrance""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Cliff,Natural Feature,Cliff,,,,,,,,"[""bluff"", ""crag"", ""head"", ""headland"", ""nose"", ""palisades"", ""precipice"", ""promontory"", ""rimrock"", ""slope""]","[""bluff"", ""crag"", ""head"", ""headland"", ""nose"", ""palisades"", ""precipice"", ""promontory"", ""rimrock"", ""slope""]","{cliff,bluff,crag,head,headland,nose,palisades,precipice,promontory,rim,rimrock}","{""natural"":""cliff""}",x,,,,"{name,nps/unitcode,height}",10,TRUE,TRUE,TRUE,
Desert,Natural Feature,Desert,,,,,,,,[],"[""desert""]",,"{""natural"":""desert""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Dune,Natural Feature,Dune,,,,,,,,"[""sand dune""]","[""sand dune""]","{dune,""sand dune""}","{""natural"":""dune""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Forest,Natural Feature,Forest,,,maki,park,,,,"[""jungle""]","[""jungle""]","{forest,wood,park,jungle}","{""landuse"":""forest""}",x,,,,"{name,nps/unitcode,leaf_type,leaf_cycle,crop}",10,TRUE,TRUE,TRUE,
Woods,Natural Feature,Forest,,,maki,park2,,,,"[""forest"", ""wood""]","[""forest"", ""wood""]","{wood,forest,park,jungle}","{""natural"":""wood""}",x,,,,"{name,nps/unitcode,leaf_type,leaf_cycle,crop}",10,TRUE,TRUE,TRUE,
Glacier,Natural Feature,Glacier,,,,,,,,"[""icefield"", ""ice patch"", ""snow patch""]","[""icefield"", ""ice patch"", ""snow patch""]","{glacier,icefield,""ice patch"",""snow patch""}","{""natural"":""glacier""}",x,,,,"{name,nps/unitcode,surface,direction}",10,TRUE,TRUE,TRUE,
Grove,Natural Feature,Grove,,,,,,,,"[""orchard"", ""trees""]","[""orchard"", ""trees""]",,"{""natural"":""grove""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Tree,Natural Feature,Grove,,,,,,,,"[""stump""]","[""stump""]","{""tree""}","{""natural"":""tree""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Harbor,Natural Feature,Harbor,,,maki,harbor,,,,"[""harbour""]","[""harbour""]","{harbour,harbor,marina}","{""harbour"":""*""}",x,,,,"{name,nps/unitcode,operator,address}",10,TRUE,TRUE,TRUE,
Island,Natural Feature,Island,,,,,,,,"[""archipelago"", ""atoll"", ""cay"", ""hammock"", ""hummock"", ""isla"", ""isle"", ""islet"", ""key"", ""moku""]","[""archipelago"", ""atoll"", ""cay"", ""hammock"", ""hummock"", ""isla"", ""isle"", ""islet"", ""key"", ""moku""]","{island,archipelago,atoll,cay,hammock,hummock,isla,isle,islet,key,moku,rock}","{""place"":""island""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Isthmus,Natural Feature,Isthmus,,,,,,,,"[""tombolo""]","[""tombolo""]",{isthmus},"{""natural"":""isthmus""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Lake,Natural Feature,Lake,,,maki,water,,,,"[""backwater"", ""lac"", ""lagoon"", ""laguna"", ""lakelet"", ""loch"", ""mere"", ""pond"", ""resaca"", ""waterhole""]","[""backwater"", ""lac"", ""lagoon"", ""laguna"", ""lakelet"", ""loch"", ""mere"", ""pond"", ""resaca"", ""waterhole""]","{lake,backwater,lac,lagoon,laguna,pond,pool,resaca,waterhole,lakelet,loch,mere}","{""natural"":""water"",""water"":""lake""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Lava,Natural Feature,Lava,,,,,,,,"[""jumble"", ""kepula"", ""lava bed"", ""lava flow"", ""pyroclastic flow""]","[""jumble"", ""kepula"", ""lava bed"", ""lava flow""]","{lava,kepula,""lava flow""}","{""natural"":""lava""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Natural Feature,Natural Feature,Natural Feature,,,,,,,,"[""generic"",""natural""]","[""generic"",""natural""]",,"{""natural"":""*""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Mountain Pass (Saddle / Gap),Natural Feature,Pass,,Mountain Pass,,,,,,"[""mountain pass"", ""saddle"", ""gap"", ""col"", ""notch"", ""pass"", ""water gap"", ""wind gap""]","[""mountain pass"", ""saddle"", ""gap"", ""col"", ""notch"", ""pass"", ""water gap"", ""wind gap""]","{saddle,gap,col,notch,pass,""water gap"",""wind gap""}","{""natural"":""saddle""}",x,,,,"{name,nps/unitcode,ele,direction}",10,TRUE,TRUE,TRUE,
Peak,Natural Feature,Peak,,,maki,triangle,,,,"[""summit"", ""acme"", ""ahu"", ""aiguille"", ""alp"", ""berg"", ""bald"", ""butte"", ""cerro"", ""climax"", ""colina"", ""cone"", ""crown"", ""cumbre"", ""dome"", ""hill"", ""horn"", ""knob"", ""knoll"", ""mauna"", ""mesita"", ""mound"", ""mount"", ""mountain"", ""puu"", ""sugarloaf"", ""tip"", ""top""]","[""summit"", ""acme"", ""ahu"", ""aiguille"", ""alp"", ""berg"", ""bald"", ""butte"", ""cerro"", ""climax"", ""colina"", ""cone"", ""crown"", ""cumbre"", ""dome"", ""hill"", ""horn"", ""knob"", ""knoll"", ""mauna"", ""mesita"", ""mound"", ""mount"", ""mountain"", ""puu"", ""sugarloaf"", ""tip"", ""top""]","{peak,summit,ahu,berg,bald,butte,cerro,colina,cone,cumbre,dome,head,hill,horn,knob,mauna,mesa,mesita,mound,mount,mountain,puu,rock,sugarload,table,acme,aiguille,alp,climax,crest,crown,pinnacle,tip,top}","{""natural"":""peak""}",x,,,,"{name,nps/unitcode,ele}",10,TRUE,TRUE,TRUE,
