type,superclass,class,npmapSymbol,hfcSymbol,iconSource,makiIcon,optionalTags,description,howToMap,altNames,oldAltNames,iDSearchTerms,tags,point,vertex,line,polygon,JSON_Fields,layerIndex,inCarto,inEditor,inGuide,defaultOrder
Retail Building,Building,Commercial,,,maki,commercial,,,,"[""commercial building"", ""retail""]","[""building"", ""commercial building"", ""retail""]","{""retail building"",retail}","{""building"":""retail""}",x,,,,"{name,nps/unitcode,address,levels,smoking}",70,TRUE,TRUE,TRUE,
Education Center,Building,Education,,,,,,,,"[""education"", ""learning"", ""learning center""]","[""education"", ""center"", ""learning"", ""learning center""]","{""education center""}","{""building"":""*"",""amenity"":""education_centre""}",x,,,,"{name,nps/unitcode}",70,TRUE,TRUE,TRUE,
School Building,Building,Education,,,maki,school,,,,"[""school"", ""academy"", ""elementary school"", ""middle school"", ""high school""]","[""school"", ""academy"", ""elementary school"", ""middle school"", ""high school""]","{""school building"",school,academy,""elementary school"",""middle school"",""high school""}","{""building"":""school""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
University Building,Building,Education,,,maki,college,,,,"[""university"", ""college"", ""higher ed"", ""higher education""]","[""university"", ""college"", ""higher ed"", ""higher education""]","{""university building"",university,college}","{""building"":""university""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Entrance / Exit,Building,Entrance,,,npmap-symbol-library,entrance-black,,,,"[""building entrance"", ""building exit"", ""emergency exit""]","[""building entrance"", ""building exit"", ""emergency exit""]",{entrance},"{""building"":""entrance""}",x,x,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Historic Building,Building,Historic,historic-feature,Ruin,,,,,,[],"[""historic"", ""building""]","{""historic building""}","{""building"":""*"",""historic"":""*""}",x,,,,"{name,nps/unitcode,site_type}",70,TRUE,TRUE,TRUE,5
Historic Cabin,Building,Historic,historic-feature,Ruin,maki,building,,,,[],"[""historic"", ""cabin""]","{historic,cabin}","{""building"":""cabin"",""historic"":""*""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Cathedral,Building,Place of Worship,,,maki,place-of-worship,,,,[],"[""church""]",{cathedral},"{""building"":""cathedral""}",x,,,,"{name,nps/unitcode,address,levels,religion}",70,TRUE,TRUE,TRUE,
Chapel,Building,Place of Worship,,,maki,place-of-worship,,,,[],"[""church""]",{chapel},"{""building"":""chapel""}",x,,,,"{name,nps/unitcode,address,levels,religion}",70,TRUE,TRUE,TRUE,
Church,Building,Place of Worship,,,maki,place-of-worship,,,,"[""place of worship""]","[""place of worship""]",{church},"{""building"":""church""}",x,,,,"{name,nps/unitcode,address,levels,religion}",70,TRUE,TRUE,TRUE,
Apartments,Building,Residential,,,maki,building,,,,"[""apartment"", ""apartment building""]","[""residential building"", ""apartment"", ""apartment building""]","{apartments,apartment,""apartment building""}","{""building"":""apartments""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Detached Home,Building,Residential,,,maki,building,,,,"[""detached"", ""detached building""]","[""residential building"", ""detached"", ""detached building""]","{""detached home"",detached,""detached building""}","{""building"":""detached""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Dormitory,Building,Residential,,,maki,building,,,,"[""dorm"", ""dormatorium"", ""residence hall""]","[""residential building"", ""dorm"", ""dormatorium"", ""residence hall""]","{dormitory,""residence hall"",dormatorium,dorm}","{""building"":""dormitory""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
House,Building,Residential,,,maki,building,,,,"[""home"", ""private home""]","[""residential building"", ""home"", ""private home""]",{house},"{""building"":""house""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Lodge,Building,Residential,lodging,,npmap-symbol-library,lodging-black,,,,"[""alpine hut"", ""wilderness hut"", ""wilderness lodge""]","[""alpine hut"", ""wilderness hut"", ""wilderness lodge""]","{lodge,""alpine hut"",""wilderness hut"",hut}","{""tourism"":""alpine_hut""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",70,TRUE,TRUE,TRUE,2
